run_id,model,embedding_model,retrieval_mode,condition,text_index,party,n_chunks,score_top1,score_top5,score_mean,score_variance,score_range,predicted_bias,label_ideology,abs_error
eval_20260722_233914,Ministral-3-8B-Instruct-2512,e5,hyde,e5/hyde,334,CDU,5,0.9449,0.9428,0.94414,8.929999999999876e-07,0.0020999999999999908,6.5,4.7,1.7999999999999998
eval_20260722_233914,Ministral-3-8B-Instruct-2512,e5,hyde,e5/hyde,68,BÜNDNIS 90/DIE GRÜNEN,5,0.94,0.9371,0.9378399999999999,1.5179999999999055e-06,0.0028999999999999027,7.0,2.4,4.6
eval_20260722_233914,Ministral-3-8B-Instruct-2512,e5,hyde,e5/hyde,683,SPD,5,0.9309,0.9249,0.9275800000000001,4.696999999999816e-06,0.005999999999999894,5.8,2.7,3.0999999999999996
eval_20260722_233914,Ministral-3-8B-Instruct-2512,e5,hyde,e5/hyde,399,FDP,5,0.9309,0.9269,0.92974,2.8480000000000166e-06,0.0040000000000000036,5.8,4.3,1.5
eval_20260722_233914,Ministral-3-8B-Instruct-2512,e5,hyde,e5/hyde,216,BÜNDNIS 90/DIE GRÜNEN,5,0.9549,0.948,0.9506599999999998,6.5779999999999944e-06,0.006900000000000017,2.1,2.4,0.2999999999999998
eval_20260722_233914,Ministral-3-8B-Instruct-2512,e5,hyde,e5/hyde,807,SPD,5,0.9317,0.9262,0.92868,4.396999999999926e-06,0.005499999999999949,3.2,2.7,0.5
eval_20260722_233914,Ministral-3-8B-Instruct-2512,e5,hyde,e5/hyde,87,BÜNDNIS 90/DIE GRÜNEN,5,0.9364,0.9334,0.9349599999999999,1.442999999999983e-06,0.0030000000000000027,3.5,2.4,1.1
eval_20260722_233914,Ministral-3-8B-Instruct-2512,e5,hyde,e5/hyde,539,DIE LINKE,5,0.9357,0.9327,0.9344199999999999,2.0869999999999844e-06,0.0030000000000000027,4.5,1.3,3.2
eval_20260722_233914,Ministral-3-8B-Instruct-2512,e5,hyde,e5/hyde,713,SPD,5,0.9348,0.9293,0.93122,4.506999999999908e-06,0.005499999999999949,4.5,2.7,1.7999999999999998
eval_20260722_233914,Ministral-3-8B-Instruct-2512,e5,hyde,e5/hyde,522,DIE LINKE,5,0.945,0.9419,0.94374,1.8430000000000159e-06,0.0030999999999999917,1.2,1.3,0.10000000000000009
eval_20260722_233914,Ministral-3-8B-Instruct-2512,e5,hyde,e5/hyde,772,SPD,5,0.9437,0.9401,0.94176,2.557999999999968e-06,0.0035999999999999366,4.5,2.7,1.7999999999999998
eval_20260722_233914,Ministral-3-8B-Instruct-2512,e5,hyde,e5/hyde,435,DIE LINKE,5,0.9451,0.9406,0.9430799999999999,3.7270000000000653e-06,0.0045000000000000595,1.1,1.3,0.19999999999999996
eval_20260722_233914,Ministral-3-8B-Instruct-2512,e5,hyde,e5/hyde,30,AfD,5,0.9181,0.913,0.91456,4.1280000000000586e-06,0.005099999999999993,5.8,6.5,0.7000000000000002
eval_20260722_233914,Ministral-3-8B-Instruct-2512,e5,hyde,e5/hyde,776,SPD,5,0.9248,0.9237,0.9243399999999999,2.0299999999999082e-07,0.0010999999999999899,4.5,2.7,1.7999999999999998
eval_20260722_233914,Ministral-3-8B-Instruct-2512,e5,hyde,e5/hyde,434,DIE LINKE,5,0.943,0.9402,0.9414999999999999,1.0399999999999263e-06,0.0027999999999999137,1.2,1.3,0.10000000000000009
eval_20260722_233914,Ministral-3-8B-Instruct-2512,e5,hyde,e5/hyde,39,AfD,5,0.9396,0.936,0.9376,2.7999999999999825e-06,0.0035999999999999366,6.8,6.5,0.2999999999999998
