file_path,run_id,batch_run,model,embedding_model,retrieval_mode,condition,llm_region,k_chunks,text_index,target_party,target_speaker,target_source,n_chunks,predicted_bias,label_ideology,residual
logs/batch_runs/2026-07-22_eval_20260722_233914/e5/hyde/party_label_ministral_hyde_evaluation_logs.jsonl,eval_20260722_233914,2026-07-22_eval_20260722_233914,Ministral-3-8B-Instruct-2512,e5,hyde,e5/hyde,Europe,5,334,CDU,_FriedrichMerz,welt,5,6.5,4.7,1.7999999999999998
logs/batch_runs/2026-07-22_eval_20260722_233914/e5/hyde/party_label_ministral_hyde_evaluation_logs.jsonl,eval_20260722_233914,2026-07-22_eval_20260722_233914,Ministral-3-8B-Instruct-2512,e5,hyde,e5/hyde,Europe,5,68,BÜNDNIS 90/DIE GRÜNEN,konstantin-von-notz,Spiegel,5,7.0,2.4,4.6
logs/batch_runs/2026-07-22_eval_20260722_233914/e5/hyde/party_label_ministral_hyde_evaluation_logs.jsonl,eval_20260722_233914,2026-07-22_eval_20260722_233914,Ministral-3-8B-Instruct-2512,e5,hyde,e5/hyde,Europe,5,683,SPD,Karl_Lauterbach,n-tv,5,5.8,2.7,3.0999999999999996
logs/batch_runs/2026-07-22_eval_20260722_233914/e5/hyde/party_label_ministral_hyde_evaluation_logs.jsonl,eval_20260722_233914,2026-07-22_eval_20260722_233914,Ministral-3-8B-Instruct-2512,e5,hyde,e5/hyde,Europe,5,399,FDP,KonstantinKuhle,zeit,5,5.8,4.3,1.5
logs/batch_runs/2026-07-22_eval_20260722_233914/e5/hyde/party_label_ministral_hyde_evaluation_logs.jsonl,eval_20260722_233914,2026-07-22_eval_20260722_233914,Ministral-3-8B-Instruct-2512,e5,hyde,e5/hyde,Europe,5,216,BÜNDNIS 90/DIE GRÜNEN,GoeringEckardt,spiegel,5,2.1,2.4,0.2999999999999998
logs/batch_runs/2026-07-22_eval_20260722_233914/e5/hyde/party_label_ministral_hyde_evaluation_logs.jsonl,eval_20260722_233914,2026-07-22_eval_20260722_233914,Ministral-3-8B-Instruct-2512,e5,hyde,e5/hyde,Europe,5,807,SPD,Karl_Lauterbach,spiegel,5,3.2,2.7,0.5
logs/batch_runs/2026-07-22_eval_20260722_233914/e5/hyde/party_label_ministral_hyde_evaluation_logs.jsonl,eval_20260722_233914,2026-07-22_eval_20260722_233914,Ministral-3-8B-Instruct-2512,e5,hyde,e5/hyde,Europe,5,87,BÜNDNIS 90/DIE GRÜNEN,mikellner.bsky.social,fr,5,3.5,2.4,1.1
logs/batch_runs/2026-07-22_eval_20260722_233914/e5/hyde/party_label_ministral_hyde_evaluation_logs.jsonl,eval_20260722_233914,2026-07-22_eval_20260722_233914,Ministral-3-8B-Instruct-2512,e5,hyde,e5/hyde,Europe,5,539,DIE LINKE,SWagenknecht,bild,5,4.5,1.3,3.2
logs/batch_runs/2026-07-22_eval_20260722_233914/e5/hyde/party_label_ministral_hyde_evaluation_logs.jsonl,eval_20260722_233914,2026-07-22_eval_20260722_233914,Ministral-3-8B-Instruct-2512,e5,hyde,e5/hyde,Europe,5,713,SPD,Karl_Lauterbach,spiegel,5,4.5,2.7,1.7999999999999998
logs/batch_runs/2026-07-22_eval_20260722_233914/e5/hyde/party_label_ministral_hyde_evaluation_logs.jsonl,eval_20260722_233914,2026-07-22_eval_20260722_233914,Ministral-3-8B-Instruct-2512,e5,hyde,e5/hyde,Europe,5,522,DIE LINKE,SWagenknecht,tagesschau,5,1.2,1.3,0.10000000000000009
logs/batch_runs/2026-07-22_eval_20260722_233914/e5/hyde/party_label_ministral_hyde_evaluation_logs.jsonl,eval_20260722_233914,2026-07-22_eval_20260722_233914,Ministral-3-8B-Instruct-2512,e5,hyde,e5/hyde,Europe,5,772,SPD,Karl_Lauterbach,spiegel,5,4.5,2.7,1.7999999999999998
logs/batch_runs/2026-07-22_eval_20260722_233914/e5/hyde/party_label_ministral_hyde_evaluation_logs.jsonl,eval_20260722_233914,2026-07-22_eval_20260722_233914,Ministral-3-8B-Instruct-2512,e5,hyde,e5/hyde,Europe,5,435,DIE LINKE,SWagenknecht,faz,5,1.1,1.3,0.19999999999999996
logs/batch_runs/2026-07-22_eval_20260722_233914/e5/hyde/party_label_ministral_hyde_evaluation_logs.jsonl,eval_20260722_233914,2026-07-22_eval_20260722_233914,Ministral-3-8B-Instruct-2512,e5,hyde,e5/hyde,Europe,5,30,AfD,maltekaufmann,n-tv,5,5.8,6.5,0.7000000000000002
logs/batch_runs/2026-07-22_eval_20260722_233914/e5/hyde/party_label_ministral_hyde_evaluation_logs.jsonl,eval_20260722_233914,2026-07-22_eval_20260722_233914,Ministral-3-8B-Instruct-2512,e5,hyde,e5/hyde,Europe,5,776,SPD,Karl_Lauterbach,sueddeutsche,5,4.5,2.7,1.7999999999999998
logs/batch_runs/2026-07-22_eval_20260722_233914/e5/hyde/party_label_ministral_hyde_evaluation_logs.jsonl,eval_20260722_233914,2026-07-22_eval_20260722_233914,Ministral-3-8B-Instruct-2512,e5,hyde,e5/hyde,Europe,5,434,DIE LINKE,SWagenknecht,tagesschau,5,1.2,1.3,0.10000000000000009
logs/batch_runs/2026-07-22_eval_20260722_233914/e5/hyde/party_label_ministral_hyde_evaluation_logs.jsonl,eval_20260722_233914,2026-07-22_eval_20260722_233914,Ministral-3-8B-Instruct-2512,e5,hyde,e5/hyde,Europe,5,39,AfD,maltekaufmann,Welt,5,6.8,6.5,0.2999999999999998
